category,eventid,eventid2,DT_ENTRY,END_DT_ENTRY,color,strokePattern,loc
regm,lehmnok+,NA,1/23/2007,5/31/2007,,,
regm,offpre07t-,NA,6/1/2007,1/22/2007,,,
regm,uncer=,NA,7/24/2008,9/8/2008,,,
regm,GSO-,NA,9/9/2008,10/24/2008,,,
regm,GSOcon+,NA,10/24/2008,11/2/2008,,,
regm,GSO2-,NA,11/3/2008,11/19/2008,,,
regm,GRCV+,NA,11/20/2008,4/13/2010,,,
regm,topo10-,NA,4/14/2010,5/25/2010,,,
regm,gsocons=,NA,5/26/2010,7/13/2010,,,
regm,minirally+,NA,6/25/2010,8/2/2010,,,
regm,drifttit10+,NA,7/14/2010,11/9/2010,,,
regm,Ezcrisis-,NA,8/3/2010,10/3/2011,,,
regm,driftwid11-,NA,11/8/2010,6/24/2010,,,
regm,post08wides+,NA,10/4/2011,3/13/2012,,,
regm,offresis-,NA,3/14/2012,5/31/2012,,,
regm,tomkttgt+,NA,6/1/2012,1/2/2013,,,
regm,mktgt-,NA,1/3/2013,6/22/2013,,,
regm,quickrly+,NA,6/23/2013,7/22/2013,,,
regm,rgweak=,NA,7/23/2013,2/2/2014,,,
regm,rlyfromrg+,NA,2/3/2014,6/8/2014,,,
regm,bigso-,NA,6/9/2014,12/15/2014,,,
regm,quickrly+,NA,12/16/2014,12/22/2014,,,
regm,volpd15=,NA,12/23/2014,3/17/2015,,,
regm,rly15b+,NA,3/18/2015,5/10/2015,,,
regm,mkttgt-,NA,5/11/2015,8/23/2015,,,
regm,rly15+,NA,8/24/2015,9/15/2015,,,
regm,seloff15-,NA,9/16/2015,9/28/2015,,,
regm,rlfrly15+,NA,9/29/2015,11/3/2015,,,
regm,usrthike-,NA,11/4/2015,2/10/2016,,,
regm,rly16+,NA,2/11/2016,9/7/2016,,,
regm,preDT-,NA,9/8/2016,11/13/2016,,,
regm,postDT+,NA,11/14/2016,6/19/2017,,,
regm,oil17-,NA,6/20/2017,7/6/2017,,,
regm,oilrly17+,NA,7/7/2017,11/2/2017,,,
regm,KSAleban-,NA,11/3/2017,11/9/2017,,,
regm,genrcv+,NA,11/10/2017,2/1/2018,,,
regm,vixDump-,NA,2/2/2018,2/9/2018,,,
regm,vixRcvy+,NA,2/10/2018,2/27/2018,,,
regm,tarriffaTrm-,NA,2/28/2018,3/23/2018,,,
regm,TarTrec+,NA,3/24/2018,4/5/2018,,,
regm,RatesTrf-,NA,4/6/2018,7/2/2018,,,
regm,flowrecvy+,NA,7/3/2018,7/31/2018,,,
regm,TRYARG-,NA,8/1/2018,9/10/2018,,,
regm,ARGIMF+,NA,9/11/2018,10/3/2018,,,
regm,NdxBreak-,NA,10/4/2018,10/31/2018,,,
regm,NovEarn+,NA,11/1/2018,11/7/2018,,,
regm,TradeWarz-,NA,11/8/2018,1/3/2019,,,
regm,Fedhold+,NA,1/4/2019,2/6/2019,,,
regm,equilib19=,NA,2/7/2019,4/22/2019,,,
regm,TradeWar2-,NA,5/3/2019,5/31/2019,,,
regm,MexDealnInd+,NA,6/3/2019,6/11/2019,,,
regm,ChnTarif-,NA,7/31/2019,8/26/2019,,,
regm,FedEase+,NA,8/27/2019,9/12/2019,,,
regm,Backup19-,NA,9/13/2019,9/27/2019,,,
regm,Rallyof19+,NA,10/9/2019,11/7/2019,,,
regm,HKStress-,NA,11/8/2019,11/21/2019,,,
regm,Yerally+,NA,11/22/2019,1/16/2020,,,
regm,KungFlu-,NA,1/17/2020,1/20/2020,,,
regm,Rcvyq1+,NA,1/21/2020,2/19/2020,,,
regm,chnCov19-,NA,2/20/2020,2/27/2020,,,
regm,immune+,NA,2/28/2020,3/6/2020,,,
regm,wwCov19-,NA,3/7/2020,3/22/2020,,,
