date,close,open,high,low,change
1/21/2026,289.55,292.94,292.94,289.55,-3.79%
20-Jan-26,300.97,300.97,300.97,300.45,-0.43%
19-Jan-26,302.29,302.29,302.29,300.97,1.84%
16-Jan-26,296.82,296.82,296.82,295.74,0.99%
15-Jan-26,293.9,298.06,298.06,293.9,-4.28%
14-Jan-26,307.05,307.05,307.05,300.52,6.00%
13-Jan-26,289.66,289.66,289.66,287.81,1.46%
12-Jan-26,285.5,285.5,285.5,285.15,0.40%
9-Jan-26,284.37,284.81,284.81,284.37,-0.28%
8-Jan-26,285.18,285.18,285.18,281.71,3.49%
7-Jan-26,275.55,275.55,275.55,274.91,1.09%
6-Jan-26,272.59,272.93,272.93,272.59,0.20%
5-Jan-26,272.04,272.04,272.04,270.44,0.53%
2-Jan-26,270.61,270.61,270.61,270.61,0.88%
1-Jan-26,268.25,268.25,268.25,268.25,-0.02%
31-Dec-25,268.29,270.87,270.87,268.29,-1.92%
30-Dec-25,273.53,273.53,273.53,273.52,-0.45%
29-Dec-25,274.76,274.81,274.81,274.76,-0.02%
26-Dec-25,274.82,274.86,274.86,274.82,-0.01%
25-Dec-25,274.85,274.85,274.85,274.85,0.00%
24-Dec-25,274.84,274.85,274.85,274.84,-0.02%
23-Dec-25,274.89,274.89,274.89,274.83,0.01%
22-Dec-25,274.86,274.86,274.86,274.85,-0.01%
19-Dec-25,274.9,275.55,275.55,274.9,-2.04%
18-Dec-25,280.63,280.66,280.66,280.63,0.33%
17-Dec-25,279.7,281.82,281.82,279.7,-1.60%
16-Dec-25,284.25,284.77,284.77,284.25,-0.18%
15-Dec-25,284.77,285.63,285.63,284.77,-1.47%
12-Dec-25,289.01,290.45,290.45,289.01,-1.39%
11-Dec-25,293.08,294.91,294.91,293.08,-0.68%
10-Dec-25,295.08,295.25,295.25,295.08,0.27%
9-Dec-25,294.29,294.75,294.75,294.29,-0.51%
8-Dec-25,295.79,295.79,295.79,295.73,-3.17%
5-Dec-25,305.46,305.46,305.46,302.86,0.40%
4-Dec-25,304.26,305.86,305.86,304.26,-1.68%
3-Dec-25,309.45,313.53,313.53,309.45,-2.64%
2-Dec-25,317.85,320.31,320.31,317.85,-1.47%
1-Dec-25,322.58,323.17,323.17,322.58,0.01%
28-Nov-25,322.55,323.82,323.82,322.55,-1.60%
27-Nov-25,327.8,327.8,327.8,327.8,-0.01%
26-Nov-25,327.81,329.11,329.11,327.81,-1.36%
25-Nov-25,332.34,333.39,333.39,332.34,-0.31%
24-Nov-25,333.38,335.02,335.02,333.38,-1.25%
21-Nov-25,337.61,337.61,337.61,334.75,2.71%
20-Nov-25,328.71,328.71,328.71,328.62,-0.67%
19-Nov-25,330.93,330.93,330.93,330.9,0.30%
18-Nov-25,329.93,329.93,329.93,328.56,0.66%
17-Nov-25,327.76,327.76,327.76,327.44,1.36%
12-Nov-25,323.37,325.02,325.02,323.37,-1.30%
11-Nov-25,327.63,328.21,328.21,327.63,-0.35%
10-Nov-25,328.79,332.23,332.23,328.79,-2.51%
7-Nov-25,337.26,337.26,337.26,335.69,1.02%
6-Nov-25,333.85,333.85,333.85,333.04,1.12%
5-Nov-25,330.16,334.94,334.94,330.16,-3.82%
4-Nov-25,343.28,343.28,343.28,339.4,3.69%
3-Nov-25,331.07,331.67,331.67,331.07,0.38%
31-Oct-25,329.8,329.81,329.81,329.8,0.01%
30-Oct-25,329.76,329.76,329.76,324.39,1.66%
29-Oct-25,324.39,324.39,324.39,323.8,-0.48%
28-Oct-25,325.95,328.37,328.37,325.95,-0.38%
27-Oct-25,327.18,330.55,330.55,327.18,-5.90%
24-Oct-25,347.68,349.73,349.73,347.68,-0.57%
23-Oct-25,349.69,349.69,349.69,348.36,2.35%
22-Oct-25,341.65,349.67,349.67,341.65,-6.58%
21-Oct-25,365.7,368.85,368.85,365.7,-1.57%
20-Oct-25,371.52,374.67,374.67,371.52,-2.40%
17-Oct-25,380.65,380.65,380.65,377.29,1.34%
16-Oct-25,375.62,378.95,378.95,375.62,-1.40%
15-Oct-25,380.95,385.58,385.58,380.95,-2.90%
14-Oct-25,392.35,392.37,392.37,392.35,0.20%
13-Oct-25,391.57,391.57,391.57,390.12,0.00%
10-Oct-25,391.57,391.57,391.57,384.1,3.78%
9-Oct-25,377.32,382.04,382.04,377.32,-1.68%
8-Oct-25,383.75,383.75,383.75,383.7,-0.38%
7-Oct-25,385.2,385.25,385.25,385.2,-1.72%
6-Oct-25,391.94,391.94,391.94,391.89,2.64%
3-Oct-25,381.88,381.91,381.91,381.88,-0.63%
2-Oct-25,384.31,395.66,395.66,384.31,-1.67%
1-Oct-25,390.84,391.06,391.06,390.84,-2.71%
30-Sep-25,401.75,406.57,406.57,401.75,-4.63%
29-Sep-25,421.27,429.27,429.27,421.27,-2.16%
26-Sep-25,430.56,434.07,434.07,430.56,-1.64%
25-Sep-25,437.76,437.76,437.76,432.67,2.56%
24-Sep-25,426.84,426.84,426.84,425.09,0.60%
23-Sep-25,424.3,424.39,424.39,424.3,0.24%
22-Sep-25,423.3,423.3,423.3,420.85,7.02%
19-Sep-25,395.55,395.55,395.55,387.08,4.64%
18-Sep-25,378.01,378.01,378.01,377.91,-0.28%
17-Sep-25,379.07,380.34,380.34,379.07,-0.39%
16-Sep-25,380.56,380.63,380.63,380.56,0.47%
15-Sep-25,378.79,383.9,383.9,378.79,-3.46%
12-Sep-25,392.35,392.35,392.35,392.3,-0.40%
11-Sep-25,393.93,404.07,404.07,393.93,-4.67%
10-Sep-25,413.22,416.67,416.67,413.22,-0.69%
9-Sep-25,416.1,416.1,416.1,416.1,-2.52%
8-Sep-25,426.84,432.09,432.09,426.84,-0.73%
5-Sep-25,429.97,431.96,431.96,429.97,-0.79%
4-Sep-25,433.4,436.94,436.94,433.4,-1.30%
3-Sep-25,439.11,440.99,440.99,439.11,-1.20%
2-Sep-25,444.45,435.79,444.45,435.79,3.38%
1-Sep-25,429.93,429.93,429.93,429.92,-0.74%
29-Aug-25,433.12,434.84,434.84,433.12,3.00%
28-Aug-25,420.49,437.5,437.5,420.49,-3.85%
27-Aug-25,437.34,437.34,437.66,437.34,-0.03%
26-Aug-25,437.49,437.49,437.49,431,1.55%
25-Aug-25,430.82,430.82,430.82,430.77,0.19%
22-Aug-25,430.01,451.35,451.35,430.01,-4.70%
21-Aug-25,451.22,451.22,451.22,450.86,0.13%
20-Aug-25,450.63,450.63,450.63,440.44,2.35%
19-Aug-25,440.29,440.53,440.53,440.29,0.00%
18-Aug-25,440.31,440.31,440.31,440.1,0.16%
15-Aug-25,439.59,439.59,439.59,439.28,0.09%
14-Aug-25,439.18,439.18,439.18,438.71,0.13%
13-Aug-25,438.6,452.69,452.69,438.6,-3.10%
12-Aug-25,452.61,466.69,466.69,452.61,-2.95%
11-Aug-25,466.36,469.84,469.84,466.36,-0.61%
8-Aug-25,469.21,469.21,469.21,468.92,0.12%
7-Aug-25,468.66,472.02,472.02,468.66,-0.64%
6-Aug-25,471.66,471.66,471.66,468.46,0.74%
5-Aug-25,468.21,468.21,468.21,468.11,0.10%
4-Aug-25,467.73,475,475,467.73,-1.37%
1-Aug-25,474.23,474.23,474.23,455.51,4.16%
31-Jul-25,455.27,455.27,455.27,455.04,0.07%
30-Jul-25,454.97,454.97,454.97,454.4,0.15%
29-Jul-25,454.31,468.49,468.49,454.31,-3.00%
28-Jul-25,468.38,468.38,468.38,468.34,0.17%
25-Jul-25,467.57,467.6,467.6,467.57,0.01%
24-Jul-25,467.52,467.52,467.52,467.19,0.13%
23-Jul-25,466.93,466.93,466.93,466.65,0.12%
22-Jul-25,466.37,466.64,466.64,466.37,-0.01%
21-Jul-25,466.4,466.69,466.69,466.4,0.07%
