category,variable,color,const
lines,D01,black,
lines,D02,red,
lines,D03,darkgreen,
lines,D04,blue,
lines,D05,orange,
lines,D06,gray,
lines,D07,seagreen,
lines,D08,pink,
lines,D09,cyan,
lines,D10,grey20,
lines,D11,grey40,
lines,D12,grey60,
lines,D13,#cdcdff,
lines,D14,#f2a7b5,
mktregimes,+,#c0dccc,
mktregimes,-,#ffcdcd,
mktregimes,=,white,
mktregimes,default,white,
altbars,0,#FFE6E6,
altbars,1,#E0E0FF,
breakout,0,red,
optexp,,blue,
roll,,grey30,
rolldates,,blue,
doy,,grey30,
doq,,grey30,
bdoy,,grey30,
extreme_min,,red,
extreme_max,,blue,
date,,black,
date_range,,#FFE6E6,
hline,,grey20,
range,,#FFE6E6,
eventset,bad,#f56462,
eventset,good,#6161ff,
turningpoints,bot,red,
turningpoints,top,blue,
forecast_dates,,orange,
rebase,,grey50,
tradesignal,flat,white,
tradesignal,short,#f56462,
tradesignal,long,#6161ff,
boxplot,"seq,Greens",brewer,3
boxplotlast,,red,3
boxplotcat,,red,bold
boxplotfacet,,wheat,
retrace,base,blue,
retrace,dot,red,
grayinv,D00,red,
grayinv,D01,#969696,
grayinv,D02,#bdbdbd,
grayinv,D03,#d9d9d9,
grayinv,D04,#f0f0f0,
grayinv,D05,#74c476,
grayinv,D06,#a1d99b,
grayinv,D07,#c7e9c0,
grayinv,D08,#e5f5e0,
