REGION,CREDIT,IMFCC
LATAM,ARGENT,ARG
LATAM,BRAZIL,BRA
LATAM,CHILE,CHL
LATAM,COLOM,COL
EMEA,CZECH,CZE
EMEA,EGYPT,EGY
LATAM,BOLIVI,BOL
EMEA,GHANA,GHA
ASIA,HK,HKG
ASIA,INDIA,IND
ASIA,INDON,IDN
ASIA,CHINA,CHN
ASIA,MALAYS,MYS
LATAM,MEX,MEX
EMEA,NGERIA,NGA
LATAM,COSTAR,CRI
LATAM,PERU,PER
ASIA,PHILIP,PHL
EMEA,POLAND,POL
EMEA,REPHUN,HUN
EMEA,ROMANI,ROU
LATAM,DOMREP,DOM
LATAM,ECUA,ECU
EMEA,SOAF,ZAF
ASIA,THAI,THA
EMEA,TURKEY,TUR
EMEA,KAZAKS,KAZ
EMEA,MOROC,MAR
EMEA,PKSTAN,PAK
LATAM,PANAMA,PAN
ASIA,TGB,TWN
LATAM,URUGUA,URY
ASIA,VIETNM,VNM
