Meeting,Meeting,Meeting,Validity period,Selic target % p.y. (2)(4),TBAN % p.m. (3)(4),Selic rate,Selic rate
No.,date,bias (1),Validity period,Selic target % p.y. (2)(4),TBAN % p.m. (3)(4),% (5),% p.y. (6)
276th,01/28/2026,,01/29/2026 -,15.0,,,
275th,12/10/2025,,12/11/2025 - 01/28/2026,15.0,,1.84,14.9
274th,11/05/2025,,11/06/2025 - 12/10/2025,15.0,,1.33,14.9
273rd,09/17/2025,,09/18/2025 - 11/05/2025,15.0,,1.95,14.9
272nd,07/30/2025,,07/31/2025 - 09/17/2025,15.0,,1.95,14.9
271st,06/18/2025,,06/20/2025 - 07/30/2025,15.0,,1.61,14.9
270th,05/07/2025,,05/08/2025 - 06/19/2025,14.75,,1.64,14.65
269th,03/19/2025,,03/20/2025 - 05/07/2025,14.25,,1.69,14.15
268th,01/29/2025,,01/30/2025 - 03/19/2025,13.25,,1.63,13.15
267th,12/11/2024,,12/12/2024 - 01/29/2025,12.25,,1.51,12.15
266th,11/06/2024,,11/07/2024 - 12/11/2024,11.25,,0.97,11.15
265th,09/18/2024,,09/19/2024 - 11/06/2024,10.75,,1.42,10.65
264th,07/31/2024,,08/01/2024 - 09/18/2024,10.5,,1.38,10.4
263rd,06/19/2024,,06/20/2024 - 07/31/2024,10.5,,1.18,10.4
262nd,05/08/2024,,05/09/2024 - 06/19/2024,10.5,,1.15,10.4
261st,03/20/2024,,03/21/2024 - 05/08/2024,10.75,,1.33,10.65
260th,01/31/2024,,02/01/2024 - 03/20/2024,11.25,,1.39,11.15
259th,12/13/2023,,12/14/2023 - 01/31/2024,11.75,,1.45,11.65
258th,11/01/2023,,11/03/2023 - 12/13/2023,12.25,,1.28,12.15
257th,09/20/2023,,09/21/2023 - 11/02/2023,12.75,,1.38,12.65
256th,08/02/2023,,08/03/2023 - 09/20/2023,13.25,,1.68,13.15
255th,06/21/2023,,06/22/2023 - 08/02/2023,13.75,,1.53,13.65
254th,05/03/2023,,05/04/2023 - 06/21/2023,13.75,,1.74,13.65
253rd,03/22/2023,,03/23/2023 - 05/03/2023,13.75,,1.38,13.65
252nd,02/01/2023,,02/02/2023 - 03/22/2023,13.75,,1.69,13.65
251st,12/07/2022,,12/08/2022 - 02/01/2023,13.75,,2.05,13.65
250th,10/26/2022,,10/27/2022 - 12/07/2022,13.75,,1.43,13.65
249th,09/21/2022,,09/22/2022 - 10/26/2022,13.75,,1.23,13.65
248th,08/03/2022,,08/04/2022 - 09/21/2022,13.75,,1.74,13.65
247th,06/15/2022,,06/17/2022 - 08/03/2022,13.25,,1.68,13.15
246th,05/04/2022,,05/05/2022 - 06/16/2022,12.75,,1.43,12.65
245th,03/16/2022,,03/17/2022 - 05/04/2022,11.75,,1.45,11.65
244th,02/02/2022,,02/03/2022 - 03/16/2022,10.75,,1.13,10.65
243rd,12/08/2021,,12/09/2021 - 02/02/2022,9.25,,1.4,9.15
242nd,10/27/2021,,10/28/2021 - 12/08/2021,7.75,,0.82,7.65
241st,09/22/2021,,09/23/2021 - 10/27/2021,6.25,,0.57,6.15
240th,08/04/2021,,08/05/2021 - 09/22/2021,5.25,,0.68,5.15
239th,06/16/2021,,06/17/2021 - 08/04/2021,4.25,,0.57,4.15
238th,05/05/2021,,05/06/2021 - 06/16/2021,3.5,,0.39,3.4
237th,03/17/2021,,03/18/2021 - 05/05/2021,2.75,,0.34,2.65
236th,01/20/2021,,01/21/2021 - 03/17/2021,2.0,,0.28,1.9
235th,12/09/2020,,12/10/2020 - 01/20/2021,2.0,,0.21,1.9
234th,10/28/2020,,10/29/2020 - 12/09/2020,2.0,,0.22,1.9
233rd,09/16/2020,,09/17/2020 - 10/28/2020,2.0,,0.22,1.9
232nd,08/05/2020,,08/06/2020 - 09/16/2020,2.0,,0.22,1.9
231st,06/17/2020,,06/18/2020 - 08/05/2020,2.25,,0.3,2.15
230th,05/06/2020,,05/07/2020 - 06/17/2020,3.0,,0.32,2.9
229th,03/18/2020,,03/19/2020 - 05/06/2020,3.75,,0.46,3.65
228th,02/05/2020,,02/06/2020 - 03/18/2020,4.25,,0.45,4.15
227th,12/11/2019,,12/12/2019 - 02/05/2020,4.5,,0.65,4.4
226th,10/30/2019,,10/31/2019 - 12/11/2019,5.0,,0.55,4.9
225th,09/18/2019,,09/19/2019 - 10/30/2019,5.5,,0.63,5.4
224th,07/31/2019,,08/01/2019 - 09/18/2019,6.0,,0.8,5.9
223rd,06/19/2019,,06/21/2019 - 07/31/2019,6.5,,0.72,6.4
222nd,05/08/2019,,05/09/2019 - 06/20/2019,6.5,,0.74,6.4
221st,03/20/2019,,03/21/2019 - 05/08/2019,6.5,,0.82,6.4
220th,02/06/2019,,02/07/2019 - 03/20/2019,6.5,,0.69,6.4
219th,12/12/2018,,12/13/2018 - 02/06/2019,6.5,,0.94,6.4
218th,10/31/2018,,11/01/2018 - 12/12/2018,6.5,,0.69,6.4
217th,09/19/2018,,09/20/2018 - 10/31/2018,6.5,,0.72,6.4
216th,08/01/2018,,08/02/2018 - 09/19/2018,6.5,,0.84,6.4
215th,06/20/2018,,06/21/2018 - 08/01/2018,6.5,,0.74,6.4
214th,05/16/2018,,05/17/2018 - 06/20/2018,6.5,,0.59,6.4
213th,03/21/2018,,03/22/2018 - 05/16/2018,6.5,,0.94,6.4
212th,02/07/2018,,02/08/2018 - 03/21/2018,6.75,,0.72,6.65
211th,12/06/2017,without bias,12/07/2017 - 02/07/2018,7.0,,1.15,6.9
210th,10/25/2017,without bias,10/26/2017 - 12/06/2017,7.5,,0.8,7.4
209th,09/06/2017,without bias,09/08/2017 - 10/25/2017,8.25,,1.03,8.15
208th,07/26/2017,without bias,07/27/2017 - 09/06/2017,9.25,,1.05,9.15
207th,05/31/2017,without bias,06/01/2017 - 07/26/2017,10.25,,1.51,10.15
206th,04/12/2017,without bias,04/13/2017 - 05/31/2017,11.25,,1.35,11.15
205th,02/22/2017,without bias,02/23/2017 - 04/12/2017,12.25,,1.51,12.15
204th,01/11/2017,without bias,01/12/2017 - 02/22/2017,13.0,,1.45,12.9
