CREDIT,AGENCY,RATING,WATCH,DT_ENTRY
COLOM,FITCH,BB,,12/16/2025
COLOM,MOODY,Baa3,,6/26/2025
COLOM,S.P,BB,*-,6/26/2025
COLOM,FITCH,BB+,*-,3/6/2025
COLOM,MOODY,Baa2,*-,6/27/2024
COLOM,S.P,BB+,*-,1/18/2024
COLOM,FITCH,BB+,,6/10/2022
COLOM,S.P,BB+,,5/5/2022
COLOM,FITCH,BB+,,12/9/2021
COLOM,FITCH,BB+,,7/1/2021
COLOM,S.P,BB+,,5/19/2021
COLOM,S.P,BBB-,*-,4/22/2021
COLOM,MOODY,Baa2,*-,12/3/2020
COLOM,FITCH,BBB-,*-,11/6/2020
COLOM,S.P,BBB-,*-,10/28/2020
COLOM,FITCH,BBB-,*-,4/1/2020
COLOM,S.P,BBB-,*-,3/26/2020
COLOM,FITCH,BBB,*-,11/20/2019
COLOM,S.P,BBB-,,10/29/2019
COLOM,FITCH,BBB,*-,5/24/2019
COLOM,MOODY,Baa2,,5/24/2019
COLOM,S.P,BBB-,,12/14/2018
COLOM,FITCH,BBB,,11/14/2018
COLOM,MOODY,Baa2,*-,2/22/2018
COLOM,S.P,BBB-,,12/11/2017
COLOM,MOODY,Baa2,,7/28/2014
COLOM,FITCH,BBB,,12/10/2013
COLOM,S.P,BBB,,4/24/2013
COLOM,FITCH,BBB-,,6/22/2011
COLOM,MOODY,Baa3,,5/31/2011
COLOM,S.P,BBB-,,3/16/2011
COLOM,MOODY,Ba1,,6/19/2008
COLOM,FITCH,BB+,,6/21/2007
COLOM,S.P,BB+,,3/5/2007
COLOM,FITCH,BB,,1/10/2002
COLOM,S.P,BB,,5/24/2000
COLOM,FITCH,BB+,,3/17/2000
COLOM,S.P,BB+,,9/21/1999
COLOM,FITCH,BBB-,,9/8/1999
COLOM,MOODY,Ba2,,8/11/1999
COLOM,MOODY,Baa3,*-,9/30/1998
COLOM,MOODY,Baa3,,9/19/1995
COLOM,MOODY,Ba1,*+,5/25/1995
COLOM,FITCH,BBB,,8/10/1994
COLOM,MOODY,Ba1,,8/4/1993
COLOM,S.P,BBB-,,6/21/1993
EGYPT,S.P,B,,10/10/2025
EGYPT,S.P,B-,,4/11/2025
EGYPT,S.P,B-,*+,3/18/2024
EGYPT,MOODY,Caa1,*+,3/7/2024
EGYPT,MOODY,Caa1,*-,1/18/2024
EGYPT,S.P,B-,,10/20/2023
EGYPT,MOODY,Caa1,,10/5/2023
EGYPT,MOODY,B3,,5/9/2023
EGYPT,S.P,B,*-,4/21/2023
EGYPT,MOODY,B3,,2/7/2023
EGYPT,MOODY,B2,*-,5/26/2022
EGYPT,S.P,B,,4/22/2022
EGYPT,FITCH,B+,,4/21/2022
EGYPT,FITCH,B+,,10/20/2021
EGYPT,MOODY,B2,,7/29/2021
EGYPT,S.P,B,,5/7/2021
EGYPT,FITCH,B+,,3/10/2021
EGYPT,S.P,B,,11/6/2020
EGYPT,FITCH,B+,,7/27/2020
EGYPT,MOODY,B2,,5/11/2020
EGYPT,S.P,B,,4/17/2020
EGYPT,FITCH,B+,,11/25/2019
EGYPT,MOODY,B2,,4/17/2019
EGYPT,FITCH,B+,,3/21/2019
EGYPT,S.P,B,,11/9/2018
EGYPT,FITCH,B,*+,8/6/2018
EGYPT,S.P,B,,5/11/2018
EGYPT,FITCH,B,*+,1/16/2018
EGYPT,MOODY,B3,,8/18/2017
EGYPT,S.P,B,,5/12/2017
EGYPT,MOODY,B3,,4/7/2015
EGYPT,FITCH,B,,12/19/2014
EGYPT,S.P,B,,12/19/2014
EGYPT,FITCH,B-,,7/5/2013
EGYPT,S.P,B-,,7/5/2013
EGYPT,MOODY,Caa1,,3/21/2013
EGYPT,MOODY,B3,*-,2/12/2013
EGYPT,FITCH,B,,1/30/2013
EGYPT,S.P,B,,1/30/2013
EGYPT,MOODY,B2,*-,1/17/2013
EGYPT,MOODY,B2,,9/12/2012
EGYPT,FITCH,B+,,6/15/2012
EGYPT,S.P,B+,,6/15/2012
EGYPT,FITCH,BB-,,12/30/2011
EGYPT,S.P,BB-,,12/30/2011
EGYPT,MOODY,B2,*-,12/21/2011
EGYPT,MOODY,B1,,10/27/2011
EGYPT,FITCH,BB,,6/28/2011
EGYPT,S.P,BB,,6/28/2011
EGYPT,MOODY,Ba3,,3/16/2011
EGYPT,FITCH,BB,*-,2/3/2011
EGYPT,S.P,BB,*-,2/3/2011
EGYPT,MOODY,Ba2,,1/31/2011
EGYPT,FITCH,BB+,,8/21/2002
EGYPT,S.P,BB+,,8/21/2002
EGYPT,MOODY,Ba1,,7/6/2001
EGYPT,FITCH,BBB-,,8/19/1997
EGYPT,S.P,BBB-,,8/19/1997
US,MOODY,Aa1,,5/16/2025
US,MOODY,Aaa,*-,11/10/2023
US,FITCH,AAA,*-,7/31/2020
US,S.P,AA+,,4/2/2020
US,FITCH,AAA,,4/2/2019
US,MOODY,Aaa,,7/18/2013
